Id,Name,Nickname,Prefix,CQZone,ITUZone,Continent,Province,Timezone,ValidFrom,ValidUntil,Countries_Code
222,Sarawak,9M8,..8,28,54,OC,,Asia/Kuching,1963-09-16,2035-12-31,46
223,Azuay; Canar;Morona Santiago,HC5,..5,10,12,SA,,America/Guayaquil,1900-01-01,2035-12-31,120
224,Bolivar;Chimborazo;Cotopaxi;Tungurahua,HC6,..6,10,12,SA,,America/Guayaquil,1900-01-01,2035-12-31,120
225,Carchi;Imbabura;Pichincha,HC1,..1,10,12,SA,,America/Guayaquil,1900-01-01,2035-12-31,120
226,Esmeraldas;Manabi,HC4,..4,10,12,SA,,America/Guayaquil,1900-01-01,2035-12-31,120
227,Guyas;Los Rios,HC2,..2,10,12,SA,,America/Guayaquil,1900-01-01,2035-12-31,120
228,Loja;El Oro;Zamora Chinchipe,HC3,..3,10,12,SA,,America/Guayaquil,1900-01-01,2035-12-31,120
229,Napo;Pastaza;Sucumbios,HC7,..7,10,12,SA,,America/Guayaquil,1900-01-01,2035-12-31,120
230,San Miguel;La Union;Usulutan;Morazan,YS3,..3,7,11,NA,,America/El_Salvador,1900-01-01,2035-12-31,74
231,San Salvador;La Libertad;Cuscatlan;Chalatenango,YS1,..1,7,11,NA,,America/El_Salvador,1900-01-01,2035-12-31,74
232,San Vicente;Cabanas;La Paz,YS4,..4,7,11,NA,,America/El_Salvador,1900-01-01,2035-12-31,74
233,Santa Ana;Ahuachapan;Sonsonate,YS2,..2,7,11,NA,,America/El_Salvador,1900-01-01,2035-12-31,74
234,Harjumaa,ES2,ES2,15,29,EU,,Europe/Tallinn,1900-01-01,2035-12-31,52
235,Hiiumaa;Saaremaa,ES0,ES0,15,29,EU,,Europe/Tallinn,1900-01-01,2035-12-31,52
236,Jarvamaa;Raplamaa;Laanemaa,ES3,ES3,15,29,EU,,Europe/Tallinn,1900-01-01,2035-12-31,52
237,Jogevamaa;Tartumaa,ES5,ES5,15,29,EU,,Europe/Tallinn,1900-01-01,2035-12-31,52
238,Laane-Virumaa;Ida-Virumaa,ES4,ES4,15,29,EU,,Europe/Tallinn,1900-01-01,2035-12-31,52
239,Parnumaa,ES8,ES8,15,29,EU,,Europe/Tallinn,1900-01-01,2035-12-31,52
240,Polvamaa;Vorumaa;Valgamaa,ES6,ES6,15,29,EU,,Europe/Tallinn,1900-01-01,2035-12-31,52
241,Viljandimaa,ES7,ES7,15,29,EU,,Europe/Tallinn,1900-01-01,2035-12-31,52
242,Atol das Rocas,PY0R,"..[0-9]R|..[0-9]ZR",11,13,SA,,America/Noronha,1900-01-01,2035-12-31,56
243,Haeme,OH3,..3,15,18,EU,,Europe/Helsinki,1900-01-01,2035-12-31,224
244,Kuopio;Pohjois-Karjala,OH7,..7,15,18,EU,,Europe/Helsinki,1900-01-01,2035-12-31,224
245,Kymi,OH5,..5,15,18,EU,,Europe/Helsinki,1900-01-01,2035-12-31,224
246,Lappland,OH9,..9,15,18,EU,,Europe/Helsinki,1900-01-01,2035-12-31,224
247,Mikkeli,OH4,..4,15,18,EU,,Europe/Helsinki,1900-01-01,2035-12-31,224
248,Oulu,OH8,..8,15,18,EU,,Europe/Helsinki,1900-01-01,2035-12-31,224
249,Turku-Pori,OH1,..1,15,18,EU,,Europe/Helsinki,1900-01-01,2035-12-31,224
250,Uudenmaa,OH2,..2,15,18,EU,,Europe/Helsinki,1900-01-01,2035-12-31,224
251,Vaasa;Keski-Suomi,OH6,..6,15,18,EU,,Europe/Helsinki,1900-01-01,2035-12-31,224
252,Abkhasia,4L[0-9]V,..[0-9][V-X],21,29,AS,AB,Asia/Tbilisi,1900-01-01,2035-12-31,75
253,Adsharia,4L[0-9]Q,..[0-9][Q-S],21,29,AS,AD,Asia/Tbilisi,1900-01-01,2035-12-31,75
254,Epirus,SV6,..6,20,28,EU,,Europe/Athens,1900-01-01,2035-12-31,236
255,Ionian and Aegen Sea  Is.,SV8,..8,20,28,EU,,Europe/Athens,1900-01-01,2035-12-31,236
256,Makedonia,SV2,..2,20,28,EU,,Europe/Athens,1900-01-01,2035-12-31,236
257,Pelloponisos,SV3,..3,20,28,EU,,Europe/Athens,1900-01-01,2035-12-31,236
258,Sterea Ellada,SV1,..1,20,28,EU,,Europe/Athens,1900-01-01,2035-12-31,236
259,Thessalia,SV4,..4,20,28,EU,,Europe/Athens,1900-01-01,2035-12-31,236
260,Thrakia,SV7,..7,20,28,EU,,Europe/Athens,1900-01-01,2035-12-31,236
261,Alta Verapaz;Izabal;Peten,TG7,..7,7,11,NA,,America/Guatemala,1900-01-01,2035-12-31,76
262,Baja Verapaz;Guatemala City;Jalapa;El Progreso;Sacatepequez,TG9,..9,7,11,NA,,America/Guatemala,1900-01-01,2035-12-31,76
263,Chimaltenango;Escuintia;Santa Rosa;Solola;Suchitepequez,TG4,..4,7,11,NA,,America/Guatemala,1900-01-01,2035-12-31,76
264,Chiquimula;Jutiapa;Zacapa,TG6,..6,7,11,NA,,America/Guatemala,1900-01-01,2035-12-31,76
265,Huehuetenango;Quiche;Totonicapan,TG5,..5,7,11,NA,,America/Guatemala,1900-01-01,2035-12-31,76
266,Quezaltenango;Retalhuleu;San Marcos,TG8,..8,7,11,NA,,America/Guatemala,1900-01-01,2035-12-31,76
267,"Demerara-Mahaica;West Demerara, Upper;Demerara-Berbice",8R1,8R1,9,12,SA,,America/Guyana,1900-01-01,2035-12-31,129
268,East Berbice-Corentyne;Mahaica-Berbice,8R2,8R2,9,12,SA,,America/Guyana,1900-01-01,2035-12-31,129
269,Pomeroom-Supenaam;Essequibo Islands;Cuyuni-Mazaruni;Potaro-Siparuni;Barima-Waini;Upper Takutu-Upper Essequibo,8R3,8R3,9,12,SA,,America/Guyana,1900-01-01,2035-12-31,129
270,Atlantida;Colon,HR3,..3,7,11,NA,,America/Tegucigalpa,1900-01-01,2035-12-31,80
271,Choluteca;Valle,HR4,..4,7,11,NA,,America/Tegucigalpa,1900-01-01,2035-12-31,80
272,Comayagua;El Paraiso;F.Morazan,HR1,..1,7,11,NA,,America/Tegucigalpa,1900-01-01,2035-12-31,80
273,Copan;Lempira;Santa Barbara,HR5,..5,7,11,NA,,America/Tegucigalpa,1900-01-01,2035-12-31,80
274,Cortez;Yoro,HR2,..2,7,11,NA,,America/Tegucigalpa,1900-01-01,2035-12-31,80
275,Intibuca;La Paz,HR7,..7,7,11,NA,,America/Tegucigalpa,1900-01-01,2035-12-31,80
276,Islas de la Bahia,HR9,..9,7,11,NA,,America/Tegucigalpa,1900-01-01,2035-12-31,80
277,Ocotepeque;Lempira,HR6,..6,7,11,NA,,America/Tegucigalpa,1900-01-01,2035-12-31,80
278,Olancho;Gracias a Dios,HR8,..8,7,11,NA,,America/Tegucigalpa,1900-01-01,2035-12-31,80
279,Bacs-Kiskun;Bekes;Csongrad;Szeged,HA8,..8,15,28,EU,,Europe/Budapest,1900-01-01,2035-12-31,239
280,Baranya;Somogy;Tolna,HA3,..3,15,28,EU,,Europe/Budapest,1900-01-01,2035-12-31,239
281,Borsod-Abauj-Zemplen,HA9,..9,15,28,EU,,Europe/Budapest,1900-01-01,2035-12-31,239
282,Fejer,HA4,..4,15,28,EU,,Europe/Budapest,1900-01-01,2035-12-31,239
283,Gyor-Moson-Sopron;Vas;Zala,HA1,..1,15,28,EU,,Europe/Budapest,1900-01-01,2035-12-31,239
284,Hajdu-Bihar;Szabolcs-Szatmar-Bereg,HA0,..0,15,28,EU,,Europe/Budapest,1900-01-01,2035-12-31,239
285,Heves;Nograd,HA6,..6,15,28,EU,,Europe/Budapest,1900-01-01,2035-12-31,239
286,Komarom-Esztergom;Veszprem,HA2,..2,15,28,EU,,Europe/Budapest,1900-01-01,2035-12-31,239
287,Pest;Jasz-Nagykun-Szolnok,HA7,..7,15,28,EU,,Europe/Budapest,1900-01-01,2035-12-31,239
288,Akranes;Borgarnes;Olafsvik;Stykkisholmur,TF2,TF2,40,17,EU,,Atlantic/Reykjavik,1900-01-01,2035-12-31,242
289,Bolungarvik;Isafjoerdur;Holmavik,TF4,TF4,40,17,EU,,Atlantic/Reykjavik,1900-01-01,2035-12-31,242
290,Central uninhabited Iceland,TF0,TF0,40,17,EU,,Atlantic/Reykjavik,1900-01-01,2035-12-31,242
291,Grindavik;Keflavik;Gardur,TF8,TF8,40,17,EU,,Atlantic/Reykjavik,1900-01-01,2035-12-31,242
292,Hvammstangi;Bloenduos;Saudarkrokur,TF9,TF9,40,17,EU,,Atlantic/Reykjavik,1900-01-01,2035-12-31,242
293,Hveragerdi;Selfoss;Arborg;Hella;Vik,TF1,TF1,40,17,EU,,Atlantic/Reykjavik,1900-01-01,2035-12-31,242
294,Olafsfjoerdur;Dalvik;Akureyri;Husavik,TF5,TF5,40,17,EU,,Atlantic/Reykjavik,1900-01-01,2035-12-31,242
295,Reykjavik;Kopavogur;Gardabaer;Hafnarfjoerdur,TF3,TF3,40,17,EU,,Atlantic/Reykjavik,1900-01-01,2035-12-31,242
296,Vestmannaeyjar,TF7,TF7,40,17,EU,,Atlantic/Reykjavik,1900-01-01,2035-12-31,242
297,Vopnafjoerdur;Seydisfjoerdur;Djupivogur;Hoefn,TF6,TF6,40,17,EU,,Atlantic/Reykjavik,1900-01-01,2035-12-31,242
298,Bali,YB9A,"Y[A-Z]9[A-F]|Y[A-Z]9Z[A-F]",28,54,AS,,Asia/Makassar,1900-01-01,2035-12-31,327
299,Bangka Belitung,YE4F,"Y[E-H]4[F-L]|Y[E-H]4Z[F-L]",28,54,AS,,Asia/Jakarta,1900-01-01,2035-12-31,327
300,Banten,YB1R,"Y[A-Z]1[R-Y][A-Z]|Y[A-Z]1[R-Z].|Y[A-Z]1Z[R-Z]",28,54,AS,,Asia/Jakarta,1900-01-01,2035-12-31,327
301,Bengkulu,YB4M,"Y[A-Z]4[M-R][A-Z].|Y[A-Z]4[M-PR][A-Z][A-Z]|Y[A-Z]4[M-R].|Y[A-Z]4Z[M-R]",28,54,AS,,Asia/Jakarta,1900-01-01,2035-12-31,327
302,Central Java,YB2A,"Y[A-Z]2[A-T][A-Z].|Y[A-Z]2[A-PR-T][A-Z][A-Z]|Y[A-Z]2[A-T].|Y[A-Z]2Z[A-T]",28,54,AS,,Asia/Jakarta,1900-01-01,2035-12-31,327
303,Central Kalimantan,YB7O,"Y[A-Z]7[O-T][A-Z].|Y[A-Z]7[O-PR-T][A-Z][A-Z]|Y[A-Z]7[O-T].|Y[A-Z]7Z[O-T]",28,54,AS,,Asia/Pontianak,1900-01-01,2035-12-31,327
304,Central Sulawesi,YB8M,"Y[A-Z]8[M-P]|Y[A-Z]8Z[M-P]",28,54,AS,,Asia/Makassar,1900-01-01,2035-12-31,327
305,DI Yogyakarta,YB2U,"Y[A-Z]2[U-Y][A-Z]|Y[A-Z]2[U-Z].|Y[A-Z]2Z[U-Z]",28,54,AS,,Asia/Jakarta,1900-01-01,2035-12-31,327
306,DKI Jakarta,YB0,"Y[A-Z]0[A-Y][A-Z].|Y[A-Z]0[A-PR-Y][A-Z][A-Z]|Y[A-Z]0[A-Z].|Y[A-Z]0Z[A-Z]",28,54,AS,,Asia/Jakarta,1900-01-01,2035-12-31,327
307,East Java,YB3,"Y[A-Z]3[A-Y][A-Z].|Y[A-Z]3[A-PR-Y][A-Z][A-Z]|Y[A-Z]3[A-Z].|Y[A-Z]3Z[A-Z]",28,54,AS,,Asia/Jakarta,1900-01-01,2035-12-31,327
308,East Kalimantan,YB7U,"Y[A-Z]7[U-Y][A-Z]|Y[A-Z]7[U-Z].|Y[A-Z]7Z[U-Z]",28,54,AS,,Asia/Makassar,1900-01-01,2035-12-31,327
309,East Nusatenggara,YB9L,"Y[A-Z]9[L-P]|Y[A-Z]9Z[L-P]",28,54,AS,,Asia/Makassar,1900-01-01,2035-12-31,327
310,Gorontalo,YE8Q,"Y[E-H]8[Q-U][A-Z].|Y[E-H]8[R-U][A-Z][A-Z]|Y[E-H]8[Q-U].|Y[E-H]8Z[Q-U]",28,54,AS,,Asia/Makassar,1900-01-01,2035-12-31,327
311,Jambi,YB4A,"Y[A-Z]4[A-E]|Y[A-Z]4Z[A-E]",28,54,AS,,Asia/Jakarta,1900-01-01,2035-12-31,327
312,Lampung,YB4R,"Y[A-Z]4[S-Y][A-Z]|Y[A-Z]4[S-Z].|Y[A-Z]4Z[S-Z]",28,54,AS,,Asia/Jakarta,1900-01-01,2035-12-31,327
313,Maluku,YB8V,"Y[B-DH]8[V-Y][A-Z]|Y[B-DH]8[V-Z].|Y[B-DH]8Z[V-Z]",28,0,AS,,Asia/Jayapura,1900-01-01,2035-12-31,327
314,Nanggroe Aceh Darussalam,YB6A,"Y[A-Z]6[A-G]|Y[A-Z]6Z[A-G]",28,54,AS,,Asia/Jakarta,1900-01-01,2035-12-31,327
315,North Maluku,YE8V,"Y[E-H]8[V-Y][A-Z]|Y[E-H]8[V-Z].|Y[E-H]8Z[V-Z]",28,54,AS,,Asia/Jayapura,1900-01-01,2035-12-31,327
316,North Sulawesi,YB8Q,"Y[BCDH]8[Q-U][A-Z].|Y[BCDH]8[R-U][A-Z][A-Z]|Y[BCDH]8[Q-U].|Y[BCDH]8Z[Q-U]",28,54,AS,,Asia/Makassar,1900-01-01,2035-12-31,327
317,North Sumatera,YB6H,"Y[A-Z]6[H-Y][A-Z].|Y[A-Z]6[H-PR-Y][A-Z][A-Z]|Y[A-Z]6[H-Z].|Y[A-Z]6Z[H-Z]",28,54,AS,,Asia/Jakarta,1900-01-01,2035-12-31,327
318,Papua,YB9Q,"Y[A-Z]9[Q-Y][A-Z].|Y[A-Z]9[R-Y][A-Z][A-Z]|Y[A-Z]9[Q-Z].|Y[A-Z]9Z[Q-Z]",28,51,AS,,Asia/Jayapura,1900-01-01,2035-12-31,327
319,Riau,YB5N,"Y[A-Z]5[N-Y][A-Z].|Y[A-Z]5[N-PR-Y][A-Z][A-Z]|Y[A-Z]5[N-Z].|Y[A-Z]5Z[N-Z]",28,54,AS,,Asia/Jakarta,1900-01-01,2035-12-31,327
320,South East Sulawesi,YB8I,"Y[A-Z]8[I-L]|Y[A-Z]8Z[I-L]",28,54,AS,,Asia/Makassar,1900-01-01,2035-12-31,327
321,South Kalimantan,YB7H,"Y[A-Z]7[H-N]|Y[A-Z]7Z[H-N]",28,54,AS,,Asia/Makassar,1900-01-01,2035-12-31,327
322,South Sulawesi,YB8A,"Y[A-Z]8[A-H]|Y[A-Z]8Z[A-H]",28,54,AS,,Asia/Makassar,1900-01-01,2035-12-31,327
323,South Sumatera,YB4F,"Y[BCDH]4[F-L]|Y[BCDH]4Z[F-L]",28,54,AS,,Asia/Jakarta,1900-01-01,2035-12-31,327
324,West Java,YB1A,"Y[A-Z]1[A-Q][A-Z].|Y[A-Z]1[A-P][A-Z][A-Z]|Y[A-Z]1[A-Q].|Y[A-Z]1Z[A-Q]",28,54,AS,,Asia/Jakarta,1900-01-01,2035-12-31,327
325,West Kalimantan,YB7A,"Y[A-Z]7[A-G]|Y[A-Z]7Z[A-G]",28,54,AS,,Asia/Pontianak,1900-01-01,2035-12-31,327
326,West Nusatenggara,YB9G,"Y[A-Z]9[G-K]|Y[A-Z]9Z[G-K]",28,54,AS,,Asia/Makassar,1900-01-01,2035-12-31,327
327,West Sumatera,YB5A,"Y[A-Z]5[A-M]|Y[A-Z]5Z[A-M]",28,54,AS,,Asia/Jakarta,1900-01-01,2035-12-31,327
328,Mainland,,EI,14,27,EU,,Europe/Dublin,1900-01-01,2035-12-31,245
329,Offshore islands,EJ,EJ,14,27,EU,,Europe/Dublin,1900-01-01,2035-12-31,245
330,Abruzzo;Marche,I6,"I6|I[A-Z]6",15,28,EU,,Europe/Rome,1900-01-01,2035-12-31,248
331,Calabria;Campania;Molise;Basilicata (Potenza),I8,"I8|I[A-Z]8",15,28,EU,,Europe/Rome,1900-01-01,2035-12-31,248
332,Emilia-Romagna,I4,"I4|I[A-Z]4",15,28,EU,,Europe/Rome,1900-01-01,2035-12-31,248
333,Friuli Venezia Giulia,IV3,"I[A-JMO-VXY]3|IW3[Q-Z]",15,28,EU,,Europe/Rome,1900-01-01,2035-12-31,248
334,Lazio;Umbria,I0,"I0|I[B-LN-RTUVXYZ]0|IW0[A-T]|IW0[0-9]",15,28,EU,,Europe/Rome,1900-01-01,2035-12-31,248
335,Liguria;Piemonte,I1,"I1|I[A-WYZ]1",15,28,EU,,Europe/Rome,1900-01-01,2035-12-31,248
336,Lombardia,I2,"I2|I[A-Z]2",15,28,EU,,Europe/Rome,1900-01-01,2035-12-31,248
337,Pantelleria I.,IH9,I[ABCHIL-SU-Y]9,33,37,AF,,Europe/Rome,1900-01-01,2035-12-31,248
338,Pelagie Is.,IG9,I[ABCGIL-SU-Y]9,33,37,AF,,Europe/Rome,1900-01-01,2035-12-31,248
339,Puglia;Basilicata (Matera),I7,"I7|I[A-Z]7",15,28,EU,,Europe/Rome,1900-01-01,2035-12-31,248
340,Sicily,IT9,I[A-FIJL-Y]9,15,28,EU,,Europe/Rome,1900-01-01,2035-12-31,248
341,Toscana,I5,"I5|I[A-Z]5",15,28,EU,,Europe/Rome,1900-01-01,2035-12-31,248
342,Trentino Alto Adige,IN3,"I[A-JM-UXY]3|IW3[A-D]",15,28,EU,,Europe/Rome,1900-01-01,2035-12-31,248
343,Valle d'Aosta,IX1,"I[A-JL-OQ-VXY]1|IW1[A-O]",15,28,EU,,Europe/Rome,1900-01-01,2035-12-31,248
344,Veneto,I3,"I3|I[A-MO-UXYZ]3|IW3[E-P]|IW3[0-9]",15,28,EU,,Europe/Rome,1900-01-01,2035-12-31,248
345,Chugoku,JA4,"J[A-Z]4|7J4",25,45,AS,,Asia/Tokyo,1900-01-01,2035-12-31,339
346,Hokkaido,JA8,"J[A-Z]8|7J8",25,45,AS,,Asia/Tokyo,1900-01-01,2035-12-31,339
347,Hokuriku,JA9,"J[A-Z]9|7J9",25,45,AS,,Asia/Tokyo,1900-01-01,2035-12-31,339
348,Kanto,JA1,"J[A-CE-S]1|7J1|7[K-N][1-4]",25,45,AS,,Asia/Tokyo,1900-01-01,2035-12-31,339
349,Kinki,JA3,"J[A-Z]3|7J3",25,45,AS,,Asia/Tokyo,1900-01-01,2035-12-31,339
350,Kyushu,JA6,"J[A-Q]6|JR6[A-P][A-Z][A-Z]|JR6Q[A-T][A-Z]|7J6[ABD-Z]",25,45,AS,,Asia/Tokyo,1900-01-01,2035-12-31,339
351,Okinawa,JR6,"JR6[A-Z][A-Z].|JR6Q[U-Z][A-Z]|JR6[R-Z][A-Z][A-Z]|JS6|7J6C",25,45,AS,,Asia/Tokyo,1972-05-15,2035-12-31,339
352,Shikoku,JA5,"J[A-Z]5|7J5",25,45,AS,,Asia/Tokyo,1900-01-01,2035-12-31,339
353,Shinetsu,JA0,"J[A-Z]0|7J0",25,45,AS,,Asia/Tokyo,1900-01-01,2035-12-31,339
354,Tohoku,JA7,"J[A-Z]7|7J7",25,45,AS,,Asia/Tokyo,1900-01-01,2035-12-31,339
355,Tokai,JA2,"J[A-Z]2|7J2",25,45,AS,,Asia/Tokyo,1900-01-01,2035-12-31,339
356,Europa I.,,FT[0-9]E,39,53,AF,,Indian/Reunion,1960-06-25,2035-12-31,124
357,Juan de Nova I.,FT[0-9]J,FT[0-9]J,39,53,AF,,Indian/Reunion,1960-06-25,2035-12-31,124
358,Akmola,UN[0-9]B,[A-Z][A-Z][0-9][BE],17,30,AS,AK,Asia/Almaty,1900-01-01,2035-12-31,130
359,Aktobe,UN[0-9]I,[A-Z][A-Z][0-9]I,17,30,AS,AT,Asia/Aqtobe,1900-01-01,2035-12-31,130
360,Almaty,UN[0-9]Q,[A-Z][A-Z][0-9][QV],17,0,AS,AY,Asia/Almaty,1900-01-01,2035-12-31,130
361,Atyrau,UN[0-9]O,[A-Z][A-Z][0-9]O,17,0,AS,AR,Asia/Aqtau,1900-01-01,2035-12-31,130
362,East Kazakhstan,UN[0-9]J,[A-Z][A-Z][0-9][JD],17,31,AS,SG,Asia/Almaty,1900-01-01,2035-12-31,130
363,Karaganda,UN[0-9]P,[A-Z][A-Z][0-9][PR],17,0,AS,KG,Asia/Almaty,1900-01-01,2035-12-31,130
364,Kostanay,UN[0-9]L,[A-Z][A-Z][0-9]L,17,30,AS,KT,Asia/Almaty,1900-01-01,2035-12-31,130
365,Kyzylorda,UN[0-9]K,[A-Z][A-Z][0-9][KS],17,30,AS,KO,Asia/Qyzylorda,1900-01-01,2035-12-31,130
366,Mangystau,UN[0-9]A,[A-Z][A-Z][0-9]A,17,30,AS,MN,Asia/Aqtau,1900-01-01,2035-12-31,130
367,North Kazakhstan,UN[0-9]C,[A-Z][A-Z][0-9]C,17,30,AS,SL,Asia/Almaty,1900-01-01,2035-12-31,130
368,Pavlodar,UN[0-9]F,[A-Z][A-Z][0-9]F,17,0,AS,PV,Asia/Almaty,1900-01-01,2035-12-31,130
369,South Kazakhstan,UN[0-9]N,[A-Z][A-Z][0-9]N,17,0,AS,ON,,1900-01-01,2035-12-31,130
370,West Kazakhstan,UN[0-9]M,[A-Z][A-Z][0-9]M,17,0,AS,BY,Asia/Oral,1900-01-01,2035-12-31,130
371,Zhambyl,UN[0-9]T,[A-Z][A-Z][0-9]T,17,30,AS,ZM,Asia/Almaty,1900-01-01,2035-12-31,130
372,Chuyskaya oblast,EX[0-9]M,EX[0-9][H-M],17,0,AS,,Asia/Bishkek,1900-01-01,2035-12-31,135
373,Dzhalal-Abadskaya oblast,EX[0-9]V,EX[0-9]V,17,30,AS,,Asia/Bishkek,1900-01-01,2035-12-31,135
374,Issyk-kulskaya oblast,EX[0-9]Q,EX[0-9]Q,17,31,AS,,Asia/Bishkek,1900-01-01,2035-12-31,135
375,Narynskaya oblast,EX[0-9]P,EX[0-9]P,17,0,AS,,Asia/Bishkek,1900-01-01,2035-12-31,135
376,Oshskaya oblast,EX[0-9]N,EX[0-9]N,17,30,AS,,Asia/Bishkek,1900-01-01,2035-12-31,135
377,Talasskaya oblast,EX[0-9]T,EX[0-9]T,17,30,AS,,Asia/Bishkek,1900-01-01,2035-12-31,135
378,Bong,EL7,..7,35,46,AF,,Africa/Monrovia,1900-01-01,2035-12-31,434
379,Grand Bassa;River Cess,EL1,..1,35,46,AF,,Africa/Monrovia,1900-01-01,2035-12-31,434
380,Grand Cape Mount,EL9,..9,35,46,AF,,Africa/Monrovia,1900-01-01,2035-12-31,434
381,Grand Gedeh,EL6,..6,35,46,AF,,Africa/Monrovia,1900-01-01,2035-12-31,434
382,Lofa,EL5,..5,35,46,AF,,Africa/Monrovia,1900-01-01,2035-12-31,434
383,Maryland; Grand Kru,EL4,..4,35,46,AF,,Africa/Monrovia,1900-01-01,2035-12-31,434
384,Montserrado;Bomi;Margibi,EL2,..2,35,46,AF,,Africa/Monrovia,1900-01-01,2035-12-31,434
385,Nimba,EL8,..8,35,46,AF,,Africa/Monrovia,1900-01-01,2035-12-31,434
386,Sinoe,EL3,..3,35,46,AF,,Africa/Monrovia,1900-01-01,2035-12-31,434
387,Comino I.,9H8,9H8,15,28,EU,,Europe/Malta,1900-01-01,2035-12-31,258
388,Gozo I.,9H4,9H4,15,28,EU,,Europe/Malta,1900-01-01,2035-12-31,259
389,Caribbean Is. east of 90W,XF3,"XF3|4[A-C]3|6[D-J]3",6,10,NA,,America/Cancun,1900-01-01,2035-12-31,50
390,Caribbean Is. west of 90W,XF2,"XF2|4[A-C]2|6[D-J]2",6,10,NA,,,1900-01-01,2035-12-31,50
391,Central Mexico,XE1,"4[A-C]1|6[D-J]1|X[A-EG-I]1",6,10,NA,,,1900-01-01,2035-12-31,50
392,North Mexico,XE2,"4[A-C]2|6[D-J]2|X[A-EG-I]2",6,10,NA,,,1900-01-01,2035-12-31,50
393,Pacific Is.,XF1,"XF1|4[A-C]1|6[D-J]1",6,10,NA,,,1900-01-01,2035-12-31,50
394,South Mexico,XE3,"4[A-C]3|6[D-J]3|X[A-EG-I]3",6,10,NA,,,1900-01-01,2035-12-31,50
395,Beltsy;Rybnitsa;Floreshty,ER3,ER3,16,29,EU,,Europe/Chisinau,1900-01-01,2035-12-31,179
396,Kagul;Komrat;Leovo;Chadyr-Lunga,ER5,ER5,16,29,EU,,Europe/Chisinau,1900-01-01,2035-12-31,179
397,Kishinev;Dubossary;Orgeev;Khyncheshty,ER1,ER1,16,29,EU,,Europe/Chisinau,1900-01-01,2035-12-31,179
398,Tiraspol;Bendery;Kaushany,ER2,ER2,16,29,EU,,Europe/Chisinau,1900-01-01,2035-12-31,179
399,Yedintsy;Drokia;Soroki,ER4,ER4,16,29,EU,,Europe/Chisinau,1900-01-01,2035-12-31,179
400,Arhangay;Ovorhangay,JT6,..6,23,32,AS,,Asia/Ulaanbaatar,1900-01-01,2035-12-31,363
401,Bayan-Olgiy;Hovd,JT0,..0,23,32,AS,,Asia/Hovd,1900-01-01,2035-12-31,363
402,Dornogovi;Hentiy,JT3,..3,23,33,AS,,Asia/Choibalsan,1900-01-01,2035-12-31,363
403,Dundgovi;Omnogovi,JT4,..4,23,32,AS,,Asia/Ulaanbaatar,1900-01-01,2035-12-31,363
404,Govi-Altay,JT8,..8,23,32,AS,,Asia/Hovd,1900-01-01,2035-12-31,363
405,Hovsgol;Bulgan,JT7,..7,23,32,AS,,Asia/Ulaanbaatar,1900-01-01,2035-12-31,363
406,Selenge;Ulaanbaatar,JT5,..5,23,32,AS,,Asia/Ulaanbaatar,1900-01-01,2035-12-31,363
407,Suhbaatar,JT2,..2,23,33,AS,,Asia/Choibalsan,1900-01-01,2035-12-31,363
408,"Uvs,Dzavhan",JT9,..9,23,32,AS,,Asia/Hovd,1900-01-01,2035-12-31,363
409,Bottom of the North Is.,ZL2,..2,32,60,OC,,Pacific/Auckland,1900-01-01,2035-12-31,170
410,"Bottom of the South Is., Stewart I.",ZL4,Z[LM]4,32,60,OC,,Pacific/Auckland,1900-01-01,2035-12-31,170
411,Top of the North Is.,ZL1,Z[LM]1,32,60,OC,,Pacific/Auckland,1900-01-01,2035-12-31,170
412,Top of the South Is.,ZL3,Z[LM]3,32,60,OC,,Pacific/Auckland,1900-01-01,2035-12-31,170
413,"Boaco, Jinotega, Matagalpa",YN9,..9,7,11,NA,,America/Managua,1900-01-01,2035-12-31,86
414,"Carazo, Rivas",YN5,..5,7,11,NA,,America/Managua,1900-01-01,2035-12-31,86
415,Chinandega,YN6,..6,7,11,NA,,America/Managua,1900-01-01,2035-12-31,86
416,"Chontales, Rio San Juan, Zelaya",YN4,..4,7,11,NA,,America/Managua,1900-01-01,2035-12-31,86
417,"Esteli, Madriz, Nueva Segovia",YN8,..8,7,11,NA,,America/Managua,1900-01-01,2035-12-31,86
418,Granada,YN2,..2,7,11,NA,,America/Managua,1900-01-01,2035-12-31,86
419,Leon,YN3,..3,7,11,NA,,America/Managua,1900-01-01,2035-12-31,86
420,Managua,YN1,..1,7,11,NA,,America/Managua,1900-01-01,2035-12-31,86
421,Masaya,YN7,..7,7,11,NA,,America/Managua,1900-01-01,2035-12-31,86
422,Anambra;Rivers;Bayelsa;Enugu;Ebonyi;Abia,5N4,..4,35,46,AF,,Africa/Lagos,1900-01-01,2035-12-31,450
423,Bauchi;Adamawa,5N7,..7,35,46,AF,,Africa/Lagos,1900-01-01,2035-12-31,450
424,Benue;Plateau;Nassarawa;Taraba,5N6,..6,35,46,AF,,Africa/Lagos,1900-01-01,2035-12-31,450
425,Borno;Kano;Jigawa;Yobe,5N8,..8,35,46,AF,,Africa/Lagos,1900-01-01,2035-12-31,450
426,Cross River;Imo;Akwa-Ibom,5N5,..5,35,46,AF,,Africa/Lagos,1900-01-01,2035-12-31,450
427,Ekiti;Ondo;Edo;Delta,5N3,..3,35,46,AF,,Africa/Lagos,1900-01-01,2035-12-31,450
